drug pair    ONCHighPriority    KEGG
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00270\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00904    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D00647\r', None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D01745\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00477    [(None, None)]    [('http://rest.kegg.jp/ddi/D00270\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01236    [(None, None)]    [('http://rest.kegg.jp/ddi/D00547\r', None)]
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D02106\r', None)]
http://bio2rdf.org/drugbank:DB00280-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [('http://rest.kegg.jp/ddi/D00373\r', None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00448    [(None, None)]    [('http://rest.kegg.jp/ddi/D00355\r', None)]
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00429\r', None)]
http://bio2rdf.org/drugbank:DB00669-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00451\r', None)]
http://bio2rdf.org/drugbank:DB00289-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D02574\r', None)]
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D02106\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00429\r', None)]
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D02106\r', None)]
http://bio2rdf.org/drugbank:DB01195-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D02106\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00560\r', None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01168    [(None, None)]    [('http://rest.kegg.jp/ddi/D00394\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB00450    [(None, None)]    [('http://rest.kegg.jp/ddi/D00308\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01236    [(None, None)]    [('http://rest.kegg.jp/ddi/D00270\r', None)]
