drug pair    ONCNonInteruptive    KEGG
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00482    [(None, None)]    [('http://rest.kegg.jp/ddi/D00567\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB06725    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB01029    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB00605    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB01324-http://bio2rdf.org/drugbank:DB00784    [(None, None)]    [('http://rest.kegg.jp/ddi/D00151\r', None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D02341\r', None)]
http://bio2rdf.org/drugbank:DB01136-http://bio2rdf.org/drugbank:DB01023    [(None, None)]    [('http://rest.kegg.jp/ddi/D00255\r', None)]
http://bio2rdf.org/drugbank:DB01324-http://bio2rdf.org/drugbank:DB00788    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB01590-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [('http://rest.kegg.jp/ddi/D00472\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00788    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00784    [(None, None)]    [('http://rest.kegg.jp/ddi/D00151\r', None)]
http://bio2rdf.org/drugbank:DB00436-http://bio2rdf.org/drugbank:DB06725    [(None, None)]    [('http://rest.kegg.jp/ddi/D00650\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB01009    [(None, None)]    [('http://rest.kegg.jp/ddi/D00132\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00939    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00519    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB06228-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [('http://rest.kegg.jp/ddi/D00292\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB04743    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01297-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [('http://rest.kegg.jp/ddi/D00618\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00178    [(None, None)]    [('http://rest.kegg.jp/ddi/D00421\r', None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00482    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00606-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB00627-http://bio2rdf.org/drugbank:DB00227    [(None, None)]    [('http://rest.kegg.jp/ddi/D00049\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00605    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB00880-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [('http://rest.kegg.jp/ddi/D00425\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00966    [(None, None)]    [('http://rest.kegg.jp/ddi/D00383\r', None)]
http://bio2rdf.org/drugbank:DB00232-http://bio2rdf.org/drugbank:DB00749    [(None, None)]    [('http://rest.kegg.jp/ddi/D00315\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB08807-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00437\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB00722    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00533    [(None, None)]    [('http://rest.kegg.jp/ddi/D00383\r', None)]
http://bio2rdf.org/drugbank:DB08807-http://bio2rdf.org/drugbank:DB01054    [(None, None)]    [('http://rest.kegg.jp/ddi/D00629\r', None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [('http://rest.kegg.jp/ddi/D00126\r', None)]
http://bio2rdf.org/drugbank:DB00232-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB00788    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00132\r', None)]
http://bio2rdf.org/drugbank:DB01324-http://bio2rdf.org/drugbank:DB01009    [(None, None)]    [('http://rest.kegg.jp/ddi/D00132\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00876    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00861-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [('http://rest.kegg.jp/ddi/D00130\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00749    [(None, None)]    [('http://rest.kegg.jp/ddi/D00315\r', None)]
